COXORB Performance Data   16:02  20/01/2023 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
05225,0:18:20.3,00565,030.7,029,01:38,05.12,09.89
05250,0:18:25.0,00568,030.9,029,01:38,05.10,09.90
05275,0:18:29.8,00570,031.0,028,01:37,05.14,09.88
05300,0:18:34.8,00573,031.1,029,01:39,05.03,09.76
05325,0:18:39.8,00575,030.9,029,01:38,05.11,09.80
05350,0:18:44.6,00578,030.7,030,01:39,05.05,09.82
05375,0:18:49.7,00580,030.9,029,01:38,05.09,09.83
05400,0:18:54.4,00583,031.2,029,01:39,05.07,09.68
05425,0:18:59.4,00585,031.5,029,01:39,05.06,09.66
05450,0:19:04.4,00588,031.3,028,01:39,05.06,09.61
05475,0:19:09.4,00591,031.0,029,01:39,05.03,09.64
05500,0:19:14.4,00593,031.0,031,01:40,04.98,09.68
05525,0:19:19.4,00596,030.7,028,01:41,04.94,09.70
05550,0:19:24.4,00598,031.0,027,01:41,04.94,09.48
05575,0:19:29.2,00601,031.3,028,01:39,05.07,09.59
05600,0:19:34.2,00603,031.5,029,01:40,05.01,09.60
05625,0:19:39.2,00606,031.1,029,01:40,05.00,09.66
05650,0:19:44.4,00609,031.2,029,01:43,04.87,09.36
05675,0:19:49.6,00611,030.8,030,01:42,04.92,09.60
05700,0:19:54.6,00614,031.0,029,01:43,04.86,09.41
05725,0:19:59.8,00617,030.8,029,01:45,04.78,09.33
05750,0:20:05.0,00619,030.7,029,01:43,04.87,09.38
05775,0:20:10.0,00622,031.3,028,01:41,04.94,09.45
05800,0:20:15.0,00625,031.0,028,01:42,04.92,09.49
05825,0:20:20.2,00627,030.8,029,01:42,04.90,09.51
05850,0:20:25.4,00630,030.6,029,01:43,04.84,09.52
05875,0:20:30.6,00633,030.4,029,01:45,04.77,09.44
05900,0:20:35.6,00635,030.7,028,01:45,04.78,09.35
05925,0:20:40.8,00638,030.6,028,01:41,04.94,09.59
05950,0:20:46.0,00641,030.9,029,01:44,04.83,09.41
05975,0:20:51.2,00643,030.9,028,01:45,04.78,09.32
06000,0:20:56.2,00646,030.4,028,01:43,04.86,09.47
06025,0:21:01.4,00648,030.7,028,01:43,04.84,09.41
06050,0:21:06.6,00651,030.6,028,01:44,04.82,09.43
06075,0:21:11.8,00654,030.4,028,01:42,04.88,09.52
06100,0:21:17.0,00656,030.6,028,01:45,04.78,09.37
06125,0:21:22.0,00659,031.8,028,01:42,04.90,09.19
06150,0:21:27.2,00662,031.8,028,01:42,04.88,09.10
06175,0:21:32.2,00665,031.8,028,01:41,04.95,09.21
06200,0:21:37.2,00667,031.8,030,01:42,04.89,09.28
06225,0:21:42.4,00670,031.3,030,01:41,04.93,09.40
06250,0:21:47.4,00673,031.5,031,01:41,04.94,09.36
06275,0:21:52.4,00675,031.8,030,01:41,04.94,09.29
06300,0:21:57.4,00678,031.4,030,01:40,04.99,09.48
06325,0:22:02.4,00680,031.5,030,01:41,04.94,09.43
06350,0:22:07.4,00683,031.4,029,01:40,04.98,09.54
06375,0:22:12.6,00686,031.5,030,01:43,04.87,09.35
06400,0:22:17.8,00689,031.3,031,01:42,04.89,09.29
06425,0:22:22.8,00691,031.2,031,01:40,05.01,09.51
06450,0:22:27.8,00694,031.0,030,01:41,04.96,09.67
06475,0:22:32.8,00696,030.8,029,01:41,04.96,09.57
06500,0:22:37.8,00699,031.1,029,01:43,04.85,09.40
06525,0:22:43.0,00702,031.3,031,01:41,04.93,09.38
06550,0:22:48.0,00704,031.4,030,01:41,04.93,09.30
06575,0:22:53.0,00707,032.2,032,01:40,04.99,09.23
06600,0:22:58.0,00710,032.0,031,01:40,05.01,09.35
06625,0:23:03.0,00712,031.2,032,01:42,04.92,09.49
06650,0:23:08.0,00715,031.3,032,01:39,05.05,09.56
06675,0:23:12.8,00717,031.4,032,01:39,05.04,09.62
06700,0:23:17.8,00720,031.7,031,01:40,05.01,09.49
06725,0:23:22.8,00723,031.4,031,01:40,04.98,09.52
06750,0:23:28.0,00726,031.7,031,01:42,04.91,09.29
06775,0:23:33.0,00728,031.6,032,01:41,04.94,09.38
06800,0:23:38.0,00731,031.8,031,01:42,04.89,09.27
06825,0:23:43.0,00734,032.7,031,01:39,05.03,09.15
06850,0:23:48.2,00736,032.9,031,01:41,04.95,09.11
06875,0:23:53.2,00739,032.8,031,01:41,04.93,09.01
06900,0:23:58.2,00742,032.6,031,01:41,04.96,09.11
06925,0:24:03.2,00744,031.8,030,01:42,04.90,09.25
06950,0:24:08.8,00746,028.6,031,01:43,04.86,10.71
06975,0:24:15.4,00746,000.0,011,02:19,03.61,03.03
